name,department,title_1,title_2,title_3,title_4,title_5,website,biography,headshot,faculty_page,areas_of_expertise_1,areas_of_expertise_2,areas_of_expertise_3,areas_of_expertise_4,areas_of_expertise_5,areas_of_expertise_6,areas_of_expertise_7,areas_of_expertise_8,areas_of_expertise_9,areas_of_expertise_10,areas_of_expertise_11,areas_of_expertise_12,areas_of_expertise_13,areas_of_expertise_14,areas_of_expertise_15,areas_of_expertise_16,areas_of_expertise_17
Craig Lehmann,Clinical Laboratory Sciences,Professor and Dean,Clinical Laboratory Sciences,School of Health Technology and Management,,,https://www.stonybrook.edu/pres/lehmann-bio.html,"Craig Lehmann, a registered clinical chemist, focuses on e-health technology (telemedicine) to respond to the socio-economic and health care concerns of developed and developing countries. He participates in national and international conferences lecturing on emerging technologies that improve the aging experience. He invented the RxMonitor+, a medication management device that assists clients and caregivers managing complex medication regimens and may help reduce the $100-300 billion spent in the U.S. each year for medication non-adherence issues.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/Picture1.jpg,https://www.stonybrook.edu/experts/profile/craig-lehmann,e-health technology,telemedicine,telehealth,aging,health technology,medication adherence,,,,,,,,,,,
Brian Lebowitz,Neurology,"Clinical Associate Professor, Director",Neurology,School of Medicine,,,,"Brian K. Lebowitz, PhD ABPP is a Clinical Associate Professor of Neurology and the Director of Neuropsychology Training in the Neuropsychology Service at Stony Brook University Hospital.  He is board certified in neuropsychology and has published research in the areas of concussion and traumatic brain injury.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/Brian%20Lebowitz.jpg,https://www.stonybrook.edu/experts/profile/Brian-lebowitz,brain injury,neurology,ADHD,learning disorders,memory disorders,cognition,psychiatric disorders,neurological ilnesses,,,,,,,,,
Matthew J. Lebo,Political Science,"Chair, Director of the Center for Behavioral Political Economy",Political Science,College of Arts and Sciences,,,,"Matthew Lebo's research focuses on public opinion, presidential and congressional elections, and party politics in the United States and Great Britain. One of his recent papers explores how a high level of partisanship was costly in the 2010 elections. Another paper that he co-authored found that congressional parties gain and lose seats based on the battles won and lost by the president.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/Lebo.jpg,https://www.stonybrook.edu/experts/profile/matthew-lebo,public opinion,gun control,voting behavior,presidential and congressional elections,party politics in US and UK,partisanship,U.S. Senate decisions,,,,,,,,,,
Benjamin Lawler,Mechanical Engineering,Assistant Professor,Mechanical Engineering,College of Engineering and Applied Sciences,,,,"Benjamin Lawler conducts research on improving the efficiency and emissions of internal combustion engines, including the use of alternative fuels or advanced combustion concepts, for example, Low Temperature Combustion (LTC) strategies. His research interests also include drive-cycle modeling and simulation of various vehicle architectures to evaluate the fuel economy benefits of each next-generation technology. This area also includes the modeling and analysis of hybrid vehicles.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/LawlerBenjamin.jpeg,https://www.stonybrook.edu/experts/profile/benjamin-lawler,fuel economy,hybrid vehicles,Internal combustion engines,,,,,,,,,,,,,,
William E. Lawson,Medicine,"Professor of Medicine, Director of Cardiac Catheterization Laboratories, Vice Chair of Medicine",Medicine,School of Medicine,,,http://www.vitals.com/doctors/Dr_William_Lawson/profile,"William Lawson specializes in cardiovascular disease, coronary artery disease, preventive cardiology, heart failure, interventional cardiology, external counter pulsation, and heart attack. He’s board certified in internal medicine, cardiovascular disease, interventional cardiology, advanced heart failure and transplant cardiology. He’s also president of the New York Cardiology Society and Governor, New York, American College of Cardiology (Metro /Downstate).",https://www.stonybrook.edu/far-beyond/faculty-directory/images/LawsonWilliam.jpg,https://www.stonybrook.edu/experts/profile/william-lawson,angioplasty (coronary),cardiac catheterization,cardiology,coronary disease,enhanced external counterpulse,heart attack,heart failure,hyperlipidemia,hypertension,research trials-clinical trial,,,,,,,
Gallya Lahav,Political Science,Associate Professor,Political Science,College of Arts and Sciences,,,https://www.stonybrook.edu/commcms/polisci/professors/lahav.html,"Gallya Lahav specializes in comparative political behavior, with particular interests in the politics of:  Europe, immigration and refugees, the extreme-right, public opinion, and international security. She has been a consultant to the United Nations Population Division about international migration, and an expert witness to the US Special Operations Forces, European Parliament, Israel Population and Immigration Bureau and Authority and the Canadian Air Transport Safety Association.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/LahavGallya.jpg,https://www.stonybrook.edu/experts/profile/gallya-lahav,immigration,refugees,politics,public opinion,european integration (eu),political culture,,,,,,,,,,,
Yanna Krupnikov,Political Science,Assistant Professor,Political Science,College of Arts and Sciences,,,http://yannakrupnikov.com/index.html,"Yanna Krupnikov integrates psychology and political science in order to identify points at which new information can have the most profound effect on the way people form political opinions, make political choices, and, ultimately, take political actions. Some of her research, which has been recently published in a book, argues that political independents really aren’t independent but are ashamed of both parties and so choose to claim independence rather than associate with Republicans or Democrats.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/KrupnikovYanna.jpg,https://www.stonybrook.edu/experts/profile/yanna-krupnikov,politics,political psychology,political partisanship,political independents,elections,political parties,women in politics,,,,,,,,,,
Giancarlo La Camera,Neurobiology & Behavior,Assistant Professor,Neurobiology & Behavior,College of Arts and Sciences,,,http://medicine.stonybrookmedicine.edu/neurobiology/faculty/lacamera,"Giancarlo La Camera studies the neural basis of cognitive function with a combined theoretical and experimental approach. He builds mathematical models of cognitive processes such as learning and decision-making, which he then uses to guide the analysis of existing data or to design new experiments. He is especially interested in how the activity internally generated by the brain is combined with the neural activity produced by external stimuli to give rise to learning and behavior.",https://www.stonybrook.edu/faculty-directory/images/lacamera.jpg,https://www.stonybrook.edu/experts/profile/giancarlo-lacamera,decision-making,plasticity and learning,memory,cortex,neural networks,neural coding,computational neuroscience,mathematical models,,,,,,,,,
James M. Lattimer,Physics and Astronomy,Distinguished Professor,Physics and Astronomy,College of Arts and Sciences,,,http://www.astro.sunysb.edu/lattimer/,"James Lattimer has made a number of fundamental contributions to the field of nuclear astrophysics with a particular focus on neutron stars, which are ultra-dense objects formed in supernova explosions. In 1974, he proposed that the origin of many heavy elements stems from neutron star mergers, which should soon be observed in gravitational radiation.  In 1986, he computed the neutrino signal from supernova that matched observations of a nearby supernova in 1987. In 2011, his team discovered superfluidity  in the core of a neutron star for the first time.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/LattimerJames.jpg,https://www.stonybrook.edu/experts/profile/james-lattimer,neutron stars,superfluid,nuclear astrophysics,supernovae,gravitational waves,,,,,,,,,,,,
Angela A. Kokkosis,Department of Surgery,"Assistant Professor of Surgery, Associate Director of General Surgery Residency, Associate Director of Phlebology Fellowship, Co-Medical Director of Non-Invasive Vascular Laboratory",Department of Surgery,School of Medicine,,,http://medicine.stonybrookmedicine.edu/surgery/people/faculty/dr-angela-a-kokkosis,"Angela Kokkosis is interested in all areas of arterial and venous surgery. She has a special interest in carotid disease, thoracic outlet syndrome, lower extremity limb salvage, and minimally invasive treatment of varicose veins. Dr. Kokkosis has received several research-related grants, presented at national meetings, and published peer-reviewed research articles.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/dr-angela-kokkosis.jpg,https://www.stonybrook.edu/experts/profile/angela-kokkosis,arterial disease,venous disease,vascular surgery,varicose veins,arterial disease in women,carotid surgery,circulation,thoracic outlet syndrome,dialysis access,,,,,,,,
Laurie Krug,Molecular Genetics and Microbiology,Assistant Professor,Molecular Genetics and Microbiology,School of Medicine,,,http://www.mgm.stonybrook.edu/krug/index.shtml,Laurie Krug’s research interests lie in understanding the molecular determinants of virus-host interactions during chronic infections caused by human gammaherpesviruses: Epstein-Barr virus (EBV) and Kaposi’s sarcoma associated-herpesvirus (KSHV). Her research of these critical virus-cell interactions will provide a greater understanding of these disorders and can lead to novel therapeutic targets. Her laboratory uses genetic knock-out and CRISPR tools to identify virus and host determinants in a model pathogen system.,https://www.stonybrook.edu/far-beyond/faculty-directory/images/Krug%20Laurie.jpg,https://www.stonybrook.edu/experts/profile/Laurie-Krug,herpes virus,Epstein-Barr virus,Kaposi’s sarcoma,,,,,,,,,,,,,,
Andreas Koenig,Anthropology,Professor,Anthropology,College of Arts and Sciences,,,https://www.stonybrook.edu/commcms/anthropology/faculty/akoenig.html,"Andreas Koenig’s research focuses on the behavior and ecology of nonhuman primates. He is particularly interested in how social behavior, such as cooperation and competition, evolved, and what costs and benefits individuals face when living in groups. Additionally, he researches how behavior, morphology, and physiology affect access to potential mates, as well as the timing of key events that occur in the individuals’ lifetimes. He has conducted fieldwork with wild primates in Asia, particularly Nepal and Thailand.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/KoenigAndreas.jpg,https://www.stonybrook.edu/experts/profile/andreas-koenig,nonhuman primates,behavioral ecology,social evolution,primate mating behavior,primate life history,primate ecology,Asian primates,leaf monkeys,Hanuman langurs,,,,,,,,
Jin Koda,Physics and Astronomy,Associate Professor,Physics and Astronomy,College of Arts and Sciences,,,http://www.astro.sunysb.edu/koda/Stony_Brook/Jin_KODA.html,"Jin Koda’s primary interest is the evolution of galactic disks and star formation. Galaxies are concentrations of more than billions of stars, gas, and dust in the Universe, and galactic disks are thin, circular distributions of stars, gas, and dust in the galaxies. Recently, by scouring archival data captured by the Subaru Telescope, he and his collaborators discovered 854 “ultra-dark galaxies” in the Coma Cluster, a region in deep space 330 million light-years from Earth. These galaxies have an unusual amount of dark matter, which is one of the unresolved mysteries of the origin and development of the universe.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/131209_Koda-Jin_020.jpg,https://www.stonybrook.edu/experts/profile/jin-koda,galactic disks,star formation,dark matter,ultra-dark galaxies,deep space,origin of the universe,cosmology,,,,,,,,,,
Reuben C. Kline,Political Science,Assistant Professor,Political Science,College of Arts and Sciences,,,,"In a recent paper, Reuben Kline and his co-author demonstrate that pre-election polls consistently underestimate support for female candidates when compared to white male candidates. In another paper, he and his co-authors use evidence and data from two laboratory experiments to study whether violations of the principle of “just deserts” contribute to an increased tolerance for or an engagement in dishonest and corrupt acts.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/KlineReuben.jpg,https://www.stonybrook.edu/experts/profile/reuben-kline,behavioral economics,political economy,experimental social science,political behavior,public opinion,corruption,party systems,,,,,,,,,,
Daniel A. Knopf,School of Marine and Atmospheric Sciences,Professor,School of Marine and Atmospheric Sciences,,,,http://www.somas.stonybrook.edu/people/faculty/daniel-knopf/,"Daniel Knopf’s research focuses on the physical and chemical properties of aerosol particles and their role in air pollution and cloud formation and thus climate. Phase transitions of aerosol particles, like the formation of ice and its impact on the global radiation budget, is one of the least understood processes in the atmosphere. Also, aerosol particles provide a medium for gas-to-particle reactions, with the Antarctic ozone hole being the most prominent example.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/Knopf%20Daniel.jpg,https://www.stonybrook.edu/experts/profile/daniel-knopf,Antarctic ozone hole,aerosol and the ozone,air pollution,sea spray aerosols,smoke or fog,cloud formation and effect on climate,water freezing,global warming,,,,,,,,,
Robbye Kinkade,Health Science Program,Clinical Assistant Professor,Health Science Program,School of Health Technology and Management,,,https://www.stonybrook.edu/commcms/diversityplan/redi.html,"Robbye Kinkade is the creator and director of the Recognizing Equity, Diversity and Inclusion (R.E.D.I) program, a seminar geared toward increasing the understanding and celebration of the myriad of cultures that contribute to Stony Brook's diverse campus community. The program also seeks to provide faculty and staff with an opportunity to come together to discuss diversity, equity and inclusion. Robbye has more than 25 years of professional experience in public health and has implemented various health-related training, presentations and workshops for teens, persons living with HIV, faith based institutions and community-based organizations.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/RobbyeKinkade.jpg,https://www.stonybrook.edu/experts/profile/robbye-kinkade,implicit bias,diversity,inclusion,equity,public health,domestic violence,cultural competency,microaggession,culture,,,,,,,,
Daniel N. Klein,Psychology,Distinguished Professor,Psychology,College of Arts and Sciences,,,https://www.stonybrook.edu/commcms/psychology/faculty/faculty_bio_pages/dklein.html,"Daniel Klein’s research is in developmental psychopathology, particularly mood disorders in children, adolescents, and adults. It’s geared at understanding the nature, development, and causes of depression, including, identifying similarities and differences between depression at different stages of development (childhood, adolescence and adulthood) and between chronic and non-chronic forms of depression.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/KleinDanielR.jpg,https://www.stonybrook.edu/experts/profile/daniel-klein,depression,mood disorders,depressive disorders,,,,,,,,,,,,,,
Jennifer Keluskar,Psychiatry,Clinical Psychologist,Psychiatry,School of Medicine,,,http://medicine.stonybrookmedicine.edu/psychiatry/pc/asdc/team,"Jennifer Keluskar is a clinical psychologist whose specializations include autism spectrum disorders (ASD) and other developmental disabilities, anxiety disorders, and behavior management for attention deficit hyperactivity disorder (ADHD) in children. Her focus is on strengthening a child's coping skills through specific, skills-based interventions that are practical, efficient, and can be used to improve their functioning at school, home, and the community.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/KeluskarJennifer.jpg,https://www.stonybrook.edu/experts/profile/jennifer-keluskar,autism spectrum disorders,ASD,autism,attention deficit hyperactivity disorder,ADHD,developmental disabilities,anxiety disorders,behavior management,,,,,,,,,
Michael S. Kimmel,"Sociology, Gender Studies",Distinguished Professor,Sociology,Gender Studies,College of Arts and Sciences,,,"Michael Kimmel is one of the world's leading researchers and writers on men and masculinity. He is the author of more than 20 books, including  Manhood in America: A Cultural History and  Guyland: The Perilous World Where Boys Become Men, and  Angry White Men. He is the founding editor of Men and Masculinities, an interdisciplinary scholarly journal and in 2013 he founded the world's first Center for the Study of Men and Masculinities. He has offered presentations at over 300 colleges and universities, consulted with governments and United Nations, and worked with many of the world’s leading corporations to engage men in support of gender equality.  Read bio",https://www.stonybrook.edu/far-beyond/faculty-directory/images/Michael%20Kimmel%20-%20headshot.jpg,https://www.stonybrook.edu/experts/profile/michael-kimmel,MeToo,men,masculinity,gender equality,manhood,sexism,equality,gender issues,gender,masculinity and violence,,,,,,,
Stephanie Kelton,"Center for Social Justice, Inequality and Policy",Professor,Center for Social Justice,Inequality and Policy,College of Arts and Sciences,,,"Stephanie Kelton's research areas include monetary policy, employment policy, public finance, international finance, and European monetary integration.  A well-known policy expert, she has served as Chief Economist of the US Senate Budget Committee and as Senior Economic Advisor to the presidential campaign of Senator Bernie Sanders. She continues as chair of the Board of Economists for Peace and Security. In 2016, POLITICO recognized her as one of the 50 people across the country who is most influencing the political debate.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/stephaniekelton.PNG,https://www.stonybrook.edu/experts/profile/stephanie-kelton,Economics,monetary theory,the Federal reserve,international finance,Social Security,investment banking,debt crisis,deficit spending,fiscal policy,employment policy,political debate,,,,,,
Susan Katz,Pediatrics,"Nurse Practitioner, Clinical Instructor, Infant Apnea Program Coordinator, SAFE KIDS, Suffolk",Pediatrics,School of Medicine,,,,"Dr. Susan Katz specializes in infant apnea and pediatric injury prevention, with a concentration on occupant protection and newborn safety, among other injury topics.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/KatzSusan.jpg,https://www.stonybrook.edu/experts/profile/susan-katz,child passenger safety,sports injury prevention,water safety,SIDS prevention,,,,,,,,,,,,,
Pamela Karp,Occupational Therapy Program,Academic Fieldwork Coordinator; Clinical Assistant Professor,Occupational Therapy Program,School of Health Technology and Management,,,http://healthtechnology.stonybrookmedicine.edu/programs/otp/about/faculty/karp,"Pamela Karp’s clinical expertise is in the area of upper extremity/hand therapy. She teaches courses in advanced orthopedics, hand therapy, physical agent modalities and splinting.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/Karp%20SBU%20Profile%20Pic.jpg,https://www.stonybrook.edu/experts/profile/pamela-karp,occupational therapy,hand therapy,motor learning,,,,,,,,,,,,,,
Roxanne Karimi,School of Marine and Atmospheric Sciences,Adjunct Assistant Professor,School of Marine and Atmospheric Sciences,,,,,"Roxanne Karimi’s research examines how ecological factors influence the cycling of nutrients and contaminants in freshwater and marine ecosystems, and human exposure to these nutrients and contaminants through fish consumption. Her research interests consist of three core areas: 1) mercury bioaccumulation and transfer through the food web, 2) element patterns in aquatic organisms 3) human health effects from exposure to mercury, fatty acids, and other substances through seafood consumption.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/Karimi.jpg,https://www.stonybrook.edu/experts/profile/roxanne-karimi,Environmental health,aquatic ecology,freshwater and marine pollutants,mercury,heavy metals,seafood consumption,health effects from eating fish,,,,,,,,,,
E. Ann Kaplan,English,Distinguished Professor,English,College of Arts and Sciences,,,https://www.stonybrook.edu/commcms/english/people/faculty/kaplan/main.html,"Elizabeth Kaplan’s current research focuses on environmental humanities and on trauma. In her recent book, she explores ways dystopian film (opposite of utopia) and fiction might help people productively engage with their anxieties about climate change. Her other areas of expertise include cultural studies, media, and women's studies, from diverse theoretical perspectives including psychoanalysis, feminism, postmodernism, and post-colonialism. She also has conducted and published pioneering research on women in film, which has been influential in the United States and abroad.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/KaplanAElizabeth.jpg,https://www.stonybrook.edu/experts/profile/elizabeth-kaplan,women and film,feminist theory,trauma studies,environmental humanities,trauma,climate change,dystopia,women’s studies,,,,,,,,,
Chang Kee Jung,Physics and Astronomy,Distinguished Professor,Physics and Astronomy,College of Arts and Sciences,,,http://superk.physics.sunysb.edu/~alpinist/,"In the field of particle physics, Chang Kee Jung is one of the world's leading experts in the study of neutrino oscillations, which occur when a neutrino of one type can change into one of a different type, a phenomenon which could prove critical to understanding the role of antimatter in the origin of the universe.​ Neutrinos ​are similar to the more familiar electron, with one crucial difference: neutrinos do not carry electric charge​. Jung is also an expert in proton decay, a hypothetical form of decay in the Grand Unification Theories in which the proton decays into lighter subatomic particles. He has participated in the T2K Experiment and recently joined the leadership team of the DUNE experiment, aimed at deepening the understanding of the physical universe through the study of neutrinos. ​Lastly, Jung studies and teaches a course about the physics of sports.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/JungKeeChang.jpg,https://www.stonybrook.edu/experts/profile/chang-jung,physics of sports,particle physics,antimatter,neutrinos,neutrino   oscillations,proton decay,grand unification theories,NFL Super Bowl,,,,,,,,,
Tiffany D. Joseph,Sociology,Assistant Professor,Sociology,College of Arts and Sciences,,,http://www.tiffanydjoseph.com,"Tiffany Joseph's research interests include the influence of immigration on the social construction of race in the U.S., immigrants' health and healthcare access; immigration and health policy, and the experiences of minority faculty in academia. Her current project explores how race and documentation status influences the healthcare access of immigrants under comprehensive health reform.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/JosephTiffany.jpg,https://www.stonybrook.edu/experts/profile/tiffany-joseph,latinos,immigration,minorities,brazil,health care access,race,ethnicity,gender,minority and women faculty,health policy,,,,,,,
Evan C Jones,Dermatology,"Professor, Chair, President of Stony Brook Dermatology Assoiciates",Dermatology,School of Medicine,,,,"Evan Jones’ interests include medical research and skin cancer prevention via public health awareness and education. He is fully trained in Mohs micrographic surgery and reconstruction, dermatologic surgery, and cutaneous oncology.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/JonesEvan.jpg,https://www.stonybrook.edu/experts/profile/evan-jones,skin tumors,basal cell carcinoma,soft tissue sarcoma,dermatology,melanoma,merkel cell carcinoma,Mohs micrographic surgery,skin cancer,squamous cell carcinoma of the skin,sun protection,skin cancer prevention,sun protection education,,,,,
Constantine Ioannou,Psychiatry,"Psychiatrist, Director, Adult Inpatient Unit, Director, Psychiatric Residency Training",Psychiatry,School of Medicine,,,http://medicine.stonybrookmedicine.edu/psychiatry/news/ioannou_appointment,Constantine Ioannou’s expertise is in the treatment of addictions using a combination of psychotherapy and medication. He is also an expert in the treatment of chronic and persistent mental illness and community psychiatry.,https://www.stonybrook.edu/far-beyond/faculty-directory/images/IoannouConstantine.jpg,https://www.stonybrook.edu/experts/profile/constantine-ioannou,psychiatry,bipolar disorder,depression,schizophrenia,substance abuse disorders,,,,,,,,,,,,
Johanna M Jarcho,Psychology,Assistant Professor,Psychology,College of Arts and Sciences,,,https://www.stonybrook.edu/commcms/psychology/faculty/faculty_bio_pages/jjarcho.html,"Johanna Jarcho studies brain function and social-cognitive processes (i.e., interacting with others) that evolve during adolescence. She builds on concepts from mental health research by examining the boundaries between normal and abnormal behavior, to determine how such processes manifest when people are feeling rejected or accepted by others. She is particularly interested in early childhood temperament and exposure to peer victimization since they can lead to developing psychological disorders.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/JarchoJohanna.jpg,https://www.stonybrook.edu/experts/profile/johanna-jarcho,adolescent mental health,social anxiety,bullying,dealing with rejection,cyberbullying,,,,,,,,,,,,
Saul Hymes,Pediatric Infectious Diseases,"Assistant Professor of Clinical Pediatrics, Director of the Pediatric Lyme and Tick-Borne Disease Center",Pediatric Infectious Diseases,School of Medicine,,,,"As a board-certified pediatric infectious disease physician, Saul Hymes has experience in all matters relating to infections and their treatment and prevention in children. He has particular expertise, and his research activities center around: antibiotic resistance and the appropriate use of antimicrobials (antibiotic stewardship) in both humans and in animal agriculture; tick-borne infections; and the role of social media in the dissemination of health information, particularly around Lyme disease, vaccines, and antibiotics.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/HymesSaul.jpg,https://www.stonybrook.edu/experts/profile/saul-hymes,tick-borne illness,infectious disease,hepatitis,Lyme disease,pediatric HIV,pneumonia,vaccines,antibiotic resistance,MRSA,immunology,zika virus,mosquito-borne disease,west nile virus,,,,
Joel Hurowitz,Geosciences,Assistant Professor,Geosciences,College of Arts and Sciences,,,https://www.stonybrook.edu/commcms/geosciences/people/faculty/hurowitz/index.html,"Joel Hurowitz is a geochemist and planetary scientist working at the forefront of the exploration of Mars. Specializing in understanding the processes of sedimentary rock formation and evolution, he has worked extensively on the ongoing Mars Exploration Rover mission. Recently, he became the Deputy Principal Investigator for the Planetary Instrument for X-ray Lithochemistry (PIXL), which measures the chemical composition of rocks and minerals and selected by NASA to fly on the upcoming Mars 2020 Rover mission.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/HurowitzJoel.jpg,https://www.stonybrook.edu/experts/profile/joel-hurowitz,mars exploration,planetary science,geochemistry,nasa,,,,,,,,,,,,,
Heidi J. Hutner,English,"Associate Professor, Director of the Sustainability Studies Program",English,College of Arts and Sciences,,,https://www.stonybrook.edu/commcms/sustainability/faculty/hutner-1.html,"Heidi Hutner teaches and writes about environmental literature and film, environmental justice, ecofeminism, ecocriticism, and media. Recently, her work expanded to include a larger range of environmental issues as they are represented in literature, film, and other media, such as global warming and climate change, radioactive nuclear pollution, food/agricultural and animal rights, and general sustainability and energy issues.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/HutnerHeidi.jpg,https://www.stonybrook.edu/experts/profile/heidi-hutner,Paris Climate Accord,environmental justice,climate change,food rights,animal rights,sustainability,,,,,,,,,,,
David Hsu,Psychiatry,Assistant Professor,Psychiatry,School of Medicine,,,http://medicine.stonybrookmedicine.edu/psychiatry/faculty/hsu_d,David Hsu’s research is centered on the biological mechanisms that underlie social distress and reward. He is currently using neuroimaging methods (PET and fMRI) to identify patterns of neural activity during social rejection and acceptance that predict changes in behavior.  One of his long-term goals is to investigate how abnormal responses to social cues contribute to psychiatric disorders.,https://www.stonybrook.edu/far-beyond/faculty-directory/images/HsuDavid.jpg,https://www.stonybrook.edu/experts/profile/david-hsu,depression,neuroimaging,brain response to social rejection,social acceptance,psychiatric disorders,,,,,,,,,,,,
Leonie Huddy,Political Science,Professor,Political Science,College of Arts and Sciences,,,https://sites.google.com/a/stonybrook.edu/leonie-huddy/,"Leonie Huddy is an expert in political psychology, elections, public opinion, voting behavior, and women in politics.  She has written extensively on these topics, and is the co-editor of the Oxford Handbook of Political Psychology (2 nd ed).Because of her expertise , she is featured regularly on CBS Radio as an exit poll analyst. She also serves on the American National Election Studies Board of Overseers and on numerous editorial boards in political science.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/Leonie%20Huddy.JPG,https://www.stonybrook.edu/experts/profile/leonie-huddy,elections,public opinion,polling,voting behavior,political psychology,women in politics,,,,,,,,,,,
Richard Hornik,Center for News Literacy,Professor/Director of Overseas Partnership Programs,Center for News Literacy,School of Journalism,,,http://journalism.cc.stonybrook.edu/?page_id=103,"Richard Hornik has over 30 years of global experience in journalism as well as having designed and implemented editorial reorganizations at Reuters and the Harvard Business Review. He is a member of the Council on Foreign Relations, the American Council on Germany, the Overseas Press Club, and the Hong Kong Foreign Correspondents Club. He has commented on the importance of being able to debunk fake news from unreliable outlets​ as well as the use of education to battle modern propaganda campaigns.​",https://www.stonybrook.edu/far-beyond/faculty-directory/images/richard_hornik2.jpg,https://www.stonybrook.edu/experts/profile/richard-hornik,news literacy,business,economics,editing business publications,journalism curriculum development,managing global networks,publishing,editorial reorganization,strategic communications,media relations,storytelling,new media,,,,,
Benjamin S. Hsiao,Chemistry,Distinguished Professor,Chemistry,College of Arts and Sciences,,,https://www.stonybrook.edu/commcms/chemistry/faculty/hsiao.benjamin.html,"Benjamin Hsiao is a polymer scientist with expertise in nanomaterials and water purification. He and his team developed a highly permeable breakthrough membrane technology using nanofibrous materials for water purification, which removes pathogens and contaminants in water using gravity or solar heat. This invention can provide affordable and sustainable drinking water solutions to people in remote communities and after catastrophic disasters, and the technology may be on course to revolutionize the water purification industry.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/HsiaoBenjamin.jpg,https://www.stonybrook.edu/experts/profile/benjamin-hsiao,water purification,nanomaterials and water purification,sustainable drinking water supply,water purification technology,,,,,,,,,,,,,
Laura E. Hogan,Pediatric Hematology/Oncology,"Pediatric Oncologist, Assistant Professor of Pediatrics, Director, Pediatric Oncology Survivorship Program",Pediatric Hematology/Oncology,School of Medicine,,,,"Laura Hogan’s areas of expertise are leukemia, particularly acute lymphoblastic leukemia, and oncology survivorship. (Survivorship starts at the time of disease diagnosis and continues throughout the rest of the patient's life.) Her research interests include relapsed acute lymphoblastic leukemia and oncology survivorship.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/HoganLaura.jpg,https://www.stonybrook.edu/experts/profile/laura-hogan,pediatric cancer,chemotherapy,cancer treatment,pediatric leukemia,pediatric survivorship,,,,,,,,,,,,
Nancy Hiemstra,Women's Gender and Sexuality Studies,Assistant Professor,Women's Gender and Sexuality Studies,College of Arts and Sciences,,,https://www.stonybrook.edu/commcms/cat/people/cat_faculty/NancyHiemstra.html,"Nancy Hiemstra is a political geographer whose research focuses on the consequences of immigration enforcement policies. In particular, she conducts research on the effects of U.S. detention and deportation policies in Latin America (specifically Ecuador), and critically considers the relationship between ideas of homeland security and daily experiences of insecurity.  She recently initiated a project called the ""internal material economies of detention,"" focusing on the interior realities of detention facilities, including those located in New York.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/HiemstraNancy.jpg,https://www.stonybrook.edu/experts/profile/nancy-hiemstra,global migration,illegal immigrants,U.S. border enforcement,criminalization of immigrants,racialization of Latin Americans,immigration policy,U.S. immigrant detention and deportation,Ecuador,DACA,,,,,,,,
Elizabeth Hewitt,Technology and Society,Assistant Professor,Technology and Society,College of Engineering and Applied Sciences,,,https://www.stonybrook.edu/est/people/bios/ehewitt.shtml,"Elizabeth Hewitt focuses on the technological, social, and policy-based challenges surrounding energy consumption in the built environment. In particular, she explores occupant behavior in green conventional buildings, the role of values and norms in shaping energy and environmental behavior, and the technological and policy approaches to addressing demand-side energy consumption in buildings and cities. One of her current projects includes an analysis of New York city energy disclosure data through an organizational behavior lens.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/HewittElizabeth.jpg,https://www.stonybrook.edu/experts/profile/elizabeth-hewitt,green buildings,energy consumption in buildings,energy efficiency,energy behavior,environmental behavior,,,,,,,,,,,,
